"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Beck","33","4920","270","324.9","4650","4595.1","54.9","94.5","93.4","1.12","88.9","97.9","94.2","0.5","1.2","0.14"
"Adam Hamari","33","4903","250","312.3","4653","4590.7","62.3","94.9","93.6","1.27","91","98.2","94.5","0.3","1","0.13"
"Adrian Johnson","32","4899","333","335.9","4566","4563.1","2.9","93.2","93.1","0.06","86.6","96.6","93","0.4","1.5","0.14"
"Alan Porter","30","4804","274","343.8","4530","4460.2","69.8","94.3","92.8","1.45","91.4","97.8","93.2","0.4","1.3","0.14"
"Alex MacKay","6","917","53","54.2","864","862.8","1.2","94.2","94.1","0.13","91.1","96.5","93.7","0.5","1.1","0.13"
"Alex Tosi","22","3483","184","247.4","3299","3235.6","63.4","94.7","92.9","1.82","90.7","99.4","93.4","0.5","1.1","0.13"
"Alfonso Marquez","28","4355","258","281","4097","4074","23","94.1","93.5","0.53","90.1","97.1","94.3","0.4","1.1","0.12"
"Andy Fletcher","30","4282","326","282.2","3956","3999.8","-43.8","92.4","93.4","-1.02","86.5","96.9","93.1","0.5","1.4","0.13"
"Angel Hernandez","29","4449","289","301.5","4160","4147.5","12.5","93.5","93.2","0.28","87.6","97.1","92.6","0.4","1.3","0.13"
"Ben May","30","4420","258","289.5","4162","4130.5","31.5","94.2","93.5","0.71","89.5","97.7","94.4","0.4","1.2","0.13"
"Bill Miller","33","4824","313","317.6","4511","4506.4","4.6","93.5","93.4","0.1","89.6","96.9","93.6","0.5","1.2","0.13"
"Bill Welke","20","3098","219","208.2","2879","2889.8","-10.8","92.9","93.3","-0.35","86.8","96","92.8","0.4","1.3","0.12"
"Brennan Miller","15","2279","155","151","2124","2128","-4","93.2","93.4","-0.18","89.4","95.6","93.9","0.5","1.3","0.13"
"Brian Knight","29","4414","236","274.7","4178","4139.3","38.7","94.7","93.8","0.88","89.8","97.7","93.5","0.4","1.1","0.14"
"Brian O'Nora","20","2941","197","187.3","2744","2753.7","-9.7","93.3","93.6","-0.33","88.7","96.8","93.4","0.4","1.1","0.12"
"Brock Ballou","7","1100","57","76.1","1043","1023.9","19.1","94.8","93.1","1.74","92.5","96.1","95.2","0.5","1.2","0.15"
"Bruce Dreckman","27","3996","266","247.9","3730","3748.1","-18.1","93.3","93.8","-0.45","87.4","97.5","94.1","0.5","1.3","0.13"
"Carlos Torres","31","4764","296","319.8","4468","4444.2","23.8","93.8","93.3","0.5","89.6","97.4","93.4","0.3","1.2","0.13"
"CB Bucknor","30","4371","351","278.3","4020","4092.7","-72.7","92","93.6","-1.66","86.6","97.2","92.1","0.5","1.6","0.14"
"Chad Fairchild","28","4204","239","268.8","3965","3935.2","29.8","94.3","93.6","0.71","90.3","99.2","93.8","0.4","1.2","0.14"
"Chad Whitson","29","4391","250","281.1","4141","4109.9","31.1","94.3","93.6","0.71","87.9","98.5","93.3","0.5","1.3","0.15"
"Charlie Ramos","23","3501","222","214.5","3279","3286.5","-7.5","93.7","93.9","-0.21","89.9","97.9","94.3","0.4","1.3","0.13"
